P_max,OmegaA,OmegaB,t_max,Mu,Gamma_e,delta_a,delta_f,number_of_fails,mp.dps,ComputTime
0.646979196679523,0.0145410619131153,1.45185562008546,101.152214950309,100.139629397183,0.01,0,0,0,30,437.527126073837
0.0455660031077145,0.490756666721273,1.54955324401359,6.11167379629466,5.1457677106091,0.01,0.5,0,1,30,2561.70009183884
0.0219962116285277,0.956805451205608,1.83521625952304,3.51299526282167,2.66706091719163,0.01,1,0,0,30,1617.65419650078
0.0130364428347831,1.0808280144914,1.08080536818579,1.56017036914012,0,0.01,1.5,0,0,30,1634.81616950035
0.00964326277526029,1.35869614814909,1.35873041284714,1.30932843195758,0,0.01,2,0,0,30,1781.66545772553
0.00744483044303006,1.63164269352224,1.63160671165848,1.13508844262416,4.29059737444474E-05,0.01,2.5,0,0,30,1699.95634007454
0.00593295080970244,1.90122458189541,1.90126355956341,1.0055758580799,0,0.01,3,0,0,30,1712.7254858017
0.00484572501675053,2.16855746064419,2.16862899318516,0.904916518272961,4.68731672627439E-06,0.01,3.5,0,0,30,2239.21383953095
0.00403618396661922,2.43425074958537,2.43425780596086,0.824062534955245,0,0.01,4,0,0,30,2417.84530639648
0.00341632235429554,2.69859681065596,2.69857745055417,0.757503511638756,0,0.01,4.5,0,0,30,2350.86878728867
0.00293067110361066,2.96195638720357,2.96191405849795,0.701601966801976,0,0.01,5,0,0,30,3385.09942865372
0.0025427838644979,3.22444422679413,3.22448194107632,0.653916695674324,0,0.01,5.5,0,0,30,3509.2077832222
0.00222787331826225,3.48631740051701,3.48633739031724,0.612699966855841,7.72073922398401E-06,0.01,6,0,0,30,3664.57831263542
0.00196858408446975,3.74767760590243,3.74764141169895,0.576668615232259,0,0.01,6.5,0,0,30,3384.31260251999
0.00175245826496231,4.00852139187357,4.0084821847399,0.544887312947826,0,0.01,7,0,0,30,3417.59185647965
0.0015703586543153,4.26896920816221,4.26893891294457,0.516620092345918,0,0.01,7.5,0,0,30,3771.66832232475
0.00141545605892933,4.52909776788656,4.52907688719034,0.491292604616889,0,0.01,8,0,0,30,3625.33285212517
0.00128256065735114,4.78892319097823,4.78891207262764,0.468456915418941,0,0.01,8.5,0,0,30,3749.17141532898
0.0011676696492018,5.0484949271079,5.04850679875098,0.44775801900417,0,0.01,9,0,0,30,4175.44081401825
0.00106765455898549,5.30785791300776,5.30783554175013,0.428900998287202,2.29874447854666E-06,0.01,9.5,0,0,30,4125.03180336952
0.000980040878273529,5.56703166190363,5.56705995013233,0.411639820918814,0,0.01,10,0,0,30,3649.59876298904
0.000902850069900695,5.82606086252451,5.82603104561343,0.395777644304275,0,0.01,10.5,0,0,30,3851.91816782951
0.000834484501221816,6.08486038079568,6.08490942369997,0.381146955072951,0,0.01,11,0,0,30,3941.87168049812
0.000773642443731231,6.34359400038674,6.34359859179247,0.367604431130778,0,0.01,11.5,0,0,30,4323.20244526863
0.000719254464142189,6.60219470202436,6.60220695377909,0.355032930377769,0,0.01,12,0,0,30,4213.13732171059
0.00067043525492014,6.86065259123084,6.86069809975569,0.34332790148285,0,0.01,12.5,0,0,30,4254.83692669869
0.000626446756144711,7.11904972642727,7.11910193899535,0.332401710863438,0,0.01,13,0,0,30,4041.65266132355
0.000586669635824194,7.37737185610676,7.37737055009263,0.322175182975174,8.3774683938486E-07,0.01,13.5,0,0,30,4224.58698344231
0.000550581027248673,7.63559327212054,7.63557291922414,0.312584032552802,0,0.01,14,0,0,30,4680.55642771721
0.000517736999395875,7.89372514258527,7.89375205669038,0.303567094288627,0,0.01,14.5,0,0,30,4541.77198362351
0.000487758642091721,8.15178054830165,8.15180243503393,0.295077308854748,0,0.01,15,0,0,30,4244.25664973259
0.000460320936934769,8.40978782998495,8.40985376332877,0.287064530298663,0,0.01,15.5,0,0,30,4330.88030028343
0.000435143793295067,8.66779167905422,8.66779434383872,0.27949141235262,8.29102270782289E-07,0.01,16,0,0,30,4637.31386327744
0.000411984780151691,8.92572101336119,8.92567734893701,0.272320469525497,0,0.01,16.5,0,0,30,4657.25888133049
0.00039063319622277,9.18357223295382,9.18353431768572,0.265521464122509,2.98775948465506E-07,0.01,17,0,0,30,4807.79671406746
0.000370905203514589,9.44138418577208,9.4414026123891,0.259063992464931,0,0.01,17.5,0,0,30,4552.9608976841
0.000352639811442871,9.69920119997562,9.69915788157958,0.252923730149393,0,0.01,18,0,0,30,4497.4637389183
0.000335695545532102,9.95693917097754,9.95691205744843,0.247077346213612,0,0.01,18.5,0,0,30,4580.70375657082
0.000319947670264582,10.2146335185076,10.2146495875778,0.241502787154721,1.95047032339056E-07,0.01,19,0,0,30,4342.24036169052
0.00030528586306069,10.4723136344589,10.472308591269,0.236182075681608,0,0.01,19.5,0,0,30,4519.50672411919
0.000291612257394495,10.7300033589631,10.7299600974436,0.231098352676185,0,0.01,20,0,0,30,4445.43288373947
0.000278839789495016,10.9875967176333,10.9876281021779,0.226235227374801,0,0.01,20.5,0,0,30,4269.73950457573
0.00026689079591429,11.2451871425433,11.2452128154174,0.221578054408962,0,0.01,21,0,0,30,4463.40282511711
0.000255695819307011,11.5027662848419,11.5028032741035,0.217114908114263,0,0.01,21.5,0,0,30,4144.2937810421
0.000245192587799063,11.7603075859278,11.7603578468241,0.212832603265651,0,0.01,22,0,0,30,4079.92913126946
0.000235325139645587,12.0178689504599,12.0179085091076,0.208720353304262,0,0.01,22.5,0,0,30,4396.21507191658
0.000226043069993348,12.2753626523736,12.2754139980463,0.204768527562416,0,0.01,23,0,0,30,4596.53051567078
0.000217300880633847,12.5329075972959,12.5329104004847,0.200967419068219,0,0.01,23.5,0,0,30,4585.4895606041
0.000209057416944894,12.7903592674513,12.7903775438819,0.197308893911485,0,0.01,24,0,0,30,4510.39654326439
0.00020127537889624,13.0478722983711,13.0478228258533,0.193784357183876,0,0.01,24.5,0,0,30,4466.39380669594
0.650684896314019,0.0261955785917562,1.4277754709611,56.8949345274475,55.8648788247844,0.0178,0,0,0,30,517.007358789444
0.0780755275444577,0.494301282861121,1.54615329127593,5.86129071963019,4.89120012942445,0.0178,0.5,0,0,30,2597.2056760788
0.0383905203324081,0.956506013245749,1.83373078745383,3.43697219949131,2.58995848441051,0.0178,1,0,0,30,1818.16496324539
0.0239811974692502,1.39451503028411,2.16761378278061,2.49640027884579,1.75771852183885,0.0178,1.5,0,0,30,1613.7554295063
0.0170506156088196,1.3604777781306,1.36048848352302,1.30751891581457,0,0.0178,2,0,0,30,1679.65439653397
0.0131798901046915,1.63308123561363,1.63304691244081,1.1339436943955,0,0.0178,2.5,0,0,30,1648.45572352409
0.0105123911215713,1.90245163504041,1.90239943431519,1.00484275745705,0,0.0178,3,0,0,30,1660.30379676819
0.008591382389351,2.16957952172452,2.16958747207767,0.904392232399425,0,0.0178,3.5,0,0,30,2196.53250861168
0.00715951971318618,2.43505143009508,2.43508837585265,0.823694922388933,0,0.0178,4,0,0,30,2542.47740244865
0.00606228107873387,2.69928895698549,2.69932041503397,0.757219474175131,0,0.0178,4.5,0,0,30,2534.61943984032
0.00520207891577918,2.96254845265965,2.9625166449245,0.701388529006214,0,0.0178,5,0,0,30,3194.43085622787
0.00451469643180807,3.22498196017923,3.22495051929093,0.653754855031636,0,0.0178,5.5,0,0,30,3454.89853167534
0.00395640836421344,3.48672761093595,3.48673590092882,0.61256692365047,0,0.0178,6,0,0,30,3737.59989595413
0.00349657078532442,3.74798577895894,3.74795402349399,0.576576467511984,0,0.0178,6.5,0,0,30,3639.0909280777
0.0031131702215953,4.00877779627788,4.00879727000275,0.544808890330023,0,0.0178,7,0,0,30,3478.85172128677
0.00279005063056312,4.26914861964855,4.26917664372959,0.516558279104273,0,0.0178,7.5,0,0,30,3707.47566080093
0.00251513037438518,4.52923943267657,4.52924885651519,0.491244217953386,0,0.0178,8,0,0,30,3774.14028263092
0.00227922380707177,4.78905013647208,4.78905829765236,0.468418823647355,0,0.0178,8.5,0,0,30,3764.05397391319
0.00207524339734878,5.04859480043348,5.04857105051757,0.447727121373606,1.69215520368123E-06,0.0178,9,0,0,30,4200.5041615963
0.00189764779596763,5.30791471207163,5.30786520129115,0.428877295923228,3.81354911239911E-06,0.0178,9.5,0,0,30,4166.06496405602
0.00174205265294741,5.56705224626527,5.56703809163366,0.41161846977814,0,0.0178,10,0,0,30,3651.42774558067
0.00160495142767614,5.82600367596971,5.82601319429646,0.395760485406415,0,0.0178,10.5,0,0,30,3831.26753473282
0.00148351196381713,6.08479901754402,6.08484705705911,0.381134025885416,0,0.0178,11,0,0,30,4100.19960808754
0.00137542615659011,6.34349586086415,6.343526349863,0.367595501676053,0,0.0178,11.5,0,0,30,4063.38285303116
0.00127879741203911,6.60210088592878,6.60206686966517,0.355026676856795,0,0.0178,12,0,0,30,4176.39078044891
0.00119205539497611,6.86049523742279,6.86052855269601,0.343322744630443,0,0.0178,12.5,0,0,30,4345.11732435226
0.00111389074120687,7.11889472648934,7.11888195869165,0.332396374485794,0,0.0178,13,0,0,30,4061.08407473564
0.00104320455391767,7.37716902313599,7.37718296343236,0.322173580857957,6.49179347721302E-07,0.0178,13.5,0,0,30,4192.75807094574
0.000979068970655916,7.63539004161602,7.63535316779471,0.312582438400151,0,0.0178,14,0,0,30,4505.09341430664
0.000920696106749363,7.89350377288543,7.8935075334416,0.303566850796142,0,0.0178,14.5,0,0,30,4419.48842549324
0.000867413397943785,8.15153002480147,8.15157552952423,0.295076604034055,0,0.0178,15,0,0,30,3852.36628580093
0.000818643875748513,8.40951882691798,8.4095529037472,0.287065536364666,0,0.0178,15.5,0,0,30,4106.9752137661
0.000773890277268841,8.66746079363906,8.66751987694312,0.279492707635009,0,0.0178,16,0,0,30,4395.64858818054
0.000732722159179166,8.9254171404697,8.92538483165303,0.272323583071838,0,0.0178,16.5,0,0,30,4601.65871071816
0.000694765382808809,9.1832437985662,9.1832202860353,0.26552408319731,0,0.0178,17,0,0,30,4629.20309376717
0.000659693483706324,9.4410665704221,9.44104164781135,0.259067817898704,1.80308786680219E-07,0.0178,17.5,0,0,30,4502.33028173447
0.000627220548755984,9.69883046574342,9.6988472121216,0.25292739366857,0,0.0178,18,0,0,30,4546.76312565804
0.000597095306784275,9.9565492891726,9.9565439012816,0.247081193786202,0,0.0178,18.5,0,0,30,4501.65214157105
0.000569096201620491,10.2142511984393,10.2142295860437,0.24150733206031,0,0.0178,19,0,0,30,4466.53977823257
0.00054302726508019,10.4719289241898,10.47195443653,0.23618682926625,0,0.0178,19.5,0,0,30,4496.27188205719
0.000518714644526673,10.7296076338441,10.7295535897376,0.231102978167303,0,0.0178,20,0,0,30,4408.38580727577
0.000496003668907474,10.9871693538059,10.9871899250271,0.226239989499526,0,0.0178,20.5,0,0,30,4332.90169382095
0.000474756359703107,11.2447957725304,11.2447880624858,0.221582557564076,0,0.0178,21,0,0,30,4282.55886054039
0.000454849311296122,11.5023639178475,11.5023645345618,0.217119703032961,0,0.0178,21.5,0,0,30,4168.41044545174
0.000436171879243068,11.7598892655353,11.7599130128198,0.21283717019242,0,0.0178,22,0,0,30,4316.94151210785
0.000418624626373452,12.0174101094485,12.0174464196668,0.208725256420491,0,0.0178,22.5,0,0,30,4239.89207148552
0.0004021179855401,12.2749035758618,12.2749575849981,0.204773880321783,0,0.0178,23,0,0,30,4313.48082709312
0.00038657110513444,12.5324580149792,12.5324125375002,0.200972610505103,0,0.0178,23.5,0,0,30,4506.01696300507
0.000371910849330146,12.7898868010408,12.7899202423396,0.19731385988908,0,0.0178,24,0,0,30,4010.55060315132
0.000358070929789615,13.0473338639991,13.0473969796198,0.193789437875424,0,0.0178,24.5,0,0,30,4051.92519688606
0.657873422222384,0.046106819975936,1.4156912888837,32.586346201094,31.5400952101953,0.0316,0,0,0,50,292.385012388229
0.130155742287171,0.500546833478619,1.54122607521799,5.53020294690904,4.55337476403019,0.0316,0.5,0,0,30,2060.02274990082
0.0659200444348189,0.956218446375885,1.83023991269581,3.32718417016627,2.47782165183859,0.0316,1,0,0,30,2326.52955937386
0.0416300311927159,1.38640010840556,2.15467995930499,2.43728166867377,1.69559640645304,0.0316,1.5,0,0,30,2087.02961564064
0.0299150868709546,1.36364426917711,1.36364766063218,1.30429816007,0,0.0316,2,0,0,30,2312.12535786629
0.0231745460095787,1.63561591480909,1.6355800453664,1.13196031823873,0,0.0316,2.5,0,0,30,2088.67212533951
0.0185122032712437,1.90453593495853,1.90453348067128,1.00352277068494,0,0.0316,3,0,0,30,2028.91810941696
0.01514610974278,2.17133211686977,2.17127628707548,0.903494210712087,0,0.0316,3.5,0,0,30,2427.40557551384
0.0126325059879761,2.43656535328155,2.43651354386662,0.823040419366687,0,0.0316,4,0,0,30,2210.62228417397
0.0107036349519046,2.70051879626901,2.7005190873462,0.756741957252856,0,0.0316,4.5,0,0,30,2353.08876299858
0.00918979980379001,2.96353472601437,2.96356460150082,0.701027025061634,0,0.0316,5,0,0,30,2763.79906058311
0.0079790357054138,3.22582870241779,3.22582576154227,0.653473932538143,1.23986645503792E-06,0.0316,5.5,0,0,30,2523.97874832153
0.00699494744955371,3.48749550873025,3.48746471385814,0.612351964068959,0,0.0316,6,0,0,30,2812.71116900444
0.00618390602512012,3.74855507030001,3.74859505524986,0.5764006674459,0,0.0316,6.5,0,0,30,2676.45275402069
0.00550733388642173,4.00926290407045,4.00926097661786,0.544675035181459,0,0.0316,7,0,0,30,2573.02287912369
0.00493688626535482,4.26954920466033,4.2695419016158,0.51644547960571,0,0.0316,7.5,0,0,30,2741.07550191879
0.00445134638426668,4.52954289634724,4.52952146416368,0.491153390887038,0,0.0316,8,0,0,30,2610.32655954361
0.00403456995123871,4.78926365661321,4.78925224614013,0.468346276592982,0,0.0316,8.5,0,0,30,2319.06117129326
0.00367409140380204,5.0487383705847,5.04870581308805,0.447673079203478,3.25653254035116E-06,0.0316,9,0,0,30,1998.25726890564
0.00336015857940562,5.30799175998242,5.30793366658991,0.428828594048004,0,0.0316,9.5,0,0,30,2098.17930841446
0.00308505130618112,5.56705304490844,5.56701034378824,0.411583544595677,0,0.0316,10,0,0,30,2411.29594659805
0.00284259212140166,5.82596129644616,5.8259525007433,0.395733035125807,1.59854854274488E-06,0.0316,10.5,0,0,30,2486.17435026169
0.00262778947491409,6.08473947785898,6.08469057288839,0.381111521537706,0,0.0316,11,0,0,30,2695.15498757362
0.00243657386220204,6.34336792981647,6.34329449201325,0.367579474261139,2.34576109580595E-06,0.0316,11.5,0,0,30,2322.25767159462
0.0022656001628055,6.60182140561593,6.60187174375173,0.355013593276116,0,0.0316,12,0,0,30,2332.5782148838
0.00211209782018339,6.86026098034622,6.86028444995361,0.343312884946642,0,0.0316,12.5,0,0,30,4596.90348720551
0.00197375604644356,7.1185887640429,7.11857866947848,0.332389742930285,0,0.0316,13,0,0,30,4410.73278069496
0.00184863497996033,7.37680012731451,7.37686333565828,0.322168486176439,0,0.0316,13.5,0,0,30,4631.51824259758
0.00173509628740319,7.63497401114785,7.63496918797,0.312580372531223,0,0.0316,14,0,0,30,4155.65866208077
0.00163174848609238,7.89309563347194,7.89305343369993,0.303567616997927,0,0.0316,14.5,0,0,30,4219.08783102036
0.0015374035169228,8.15108259757583,8.15111829948513,0.295078798568943,0,0.0316,15,0,0,30,4208.33460593224
0.0014510419933928,8.40907312274476,8.40907762337469,0.287067845065498,0,0.0316,15.5,0,0,30,4611.94982171059
0.00137178519758141,8.66699834289094,8.66701576277664,0.279496192640276,0,0.0316,16,0,0,30,4889.52759504318
0.00129887236410114,8.92483550541351,8.9248551738353,0.272327355390384,0,0.0316,16.5,0,0,30,4704.23612308502
0.00123164213897686,9.18271093783626,9.18264836710937,0.265530142756764,2.71361785554034E-07,0.0316,17,0,0,30,4562.05002379417
0.00116951735782829,9.44044232011933,9.44048886536244,0.259072925749072,0,0.0316,17.5,0,0,30,4713.92352843285
0.00111199248003012,9.69818525384921,9.69819961168266,0.252934271691366,0,0.0316,18,0,0,30,4789.41249275208
0.00105862316141529,9.95594660275997,9.95590257749888,0.247088583548519,0,0.0316,18.5,0,0,30,4663.983263731
0.00100901755891241,10.2136006119639,10.2135960379211,0.241514190544764,0,0.0316,19,0,0,30,4659.02132606506
0.000962829045430678,10.4712656216038,10.4712262890154,0.236194952375078,0,0.0316,19.5,0,0,30,4874.23632621765
0.000919750079236565,10.728897689592,10.7288663274161,0.231111033603051,0,0.0316,20,0,0,30,4319.23780226708
0.000879507023113536,10.9864382728829,10.9864635939914,0.22624840802515,0,0.0316,20.5,0,0,30,4835.41134738922
0.000841855748474659,11.2440266818754,11.2440417633447,0.221591918785907,2.23708790458704E-07,0.0316,21,0,0,30,4431.45014762878
0.000806577891328009,11.5016019808762,11.5015632155559,0.217128534626308,0,0.0316,21.5,0,0,30,4532.72268271446
0.000773477651710045,11.7591193355801,11.7591284471266,0.212846129229804,3.09075002263079E-07,0.0316,22,0,0,30,4687.82244205475
0.000742379048174961,12.0166517220695,12.0166398582849,0.20873427024179,0,0.0316,22.5,0,0,30,4704.48411130905
0.000713123554809226,12.274125497649,12.2741426593721,0.204782496897299,0,0.0316,23,0,0,30,4609.59200978279
0.000685568060927115,12.5316130162072,12.5315743873424,0.200981675729879,0,0.0316,23.5,0,0,30,4648.56340026856
0.000659583104056288,12.7890366837949,12.7890628213147,0.19732276116578,3.02991453607794E-09,0.0316,24,0,0,30,4828.52105879784
0.000635051335072529,13.0464692054699,13.0465363400811,0.193798261515143,0,0.0316,24.5,0,0,30,4791.48357319832
0.6697232920883,0.0815534761120091,1.38757213792426,18.7998255886777,17.7219747132963,0.0562,0,0,0,30,516.199974775314
0.209091709399922,0.511254545738388,1.53426928215523,5.11013281533068,4.12236646908461,0.0562,0.5,0,0,30,2671.97982096672
0.110887836714635,0.955743039739856,1.82196123090073,3.17638403090776,2.32170497337393,0.0562,1,0,0,30,2296.73072481155
0.0712915477544199,1.37186400053094,2.12695142625183,2.35167986232068,1.60272668537254,0.0562,1.5,0,0,30,2023.62208461761
0.0521055001919527,1.36931560203378,1.36928499487333,1.29862575097351,0,0.0562,2,0,0,30,2045.85428452492
0.0405202758539559,1.64009598407457,1.64014731976618,1.12844937294982,0,0.0562,2.5,0,0,30,2023.02313613892
0.0324547060156942,1.90826145926043,1.90825708834191,1.0011934382629,0,0.0562,3,0,0,30,2294.38713288307
0.0266054829745598,2.17441490588503,2.17445834706763,0.90187702948079,0,0.0562,3.5,0,0,30,2259.37454295158
0.0222233655606119,2.43913633308752,2.43915996284335,0.821884453464957,9.3573686404301E-06,0.0562,4,0,0,30,2403.2155547142
0.0188523059287878,2.70276111377367,2.70276291022573,0.755878096085553,0,0.0562,4.5,0,0,30,2857.25448346138
0.0162014469089214,2.96543419340598,2.96545586702869,0.700367373099354,0,0.0562,5,0,0,30,3284.6533176899
0.0140779688001099,3.22738465126029,3.2273915483021,0.652973353182388,0,0.0562,5.5,0,0,30,3529.42625594139
0.0123498194060797,3.48878809045966,3.48875252605523,0.611960523171728,2.75432234071556E-06,0.0562,6,0,0,30,3685.00772428513
0.0109240232005128,3.74965184479084,3.7496460133299,0.576092448836457,0,0.0562,6.5,0,0,30,3798.59686160088
0.00973353643314485,4.01013848129615,4.01014604485807,0.544431427313534,0,0.0562,7,0,0,30,4360.97025680542
0.00872899913632237,4.2702579636752,4.2702813625293,0.516248015950336,0,0.0562,7.5,0,0,30,3574.22824549675
0.00787340094224545,4.53009428987296,4.53008382286169,0.490995361837504,0,0.0562,8,0,0,30,3737.78035092354
0.00713853869306515,4.78964638657152,4.78962579274875,0.468223204573452,0,0.0562,8.5,0,0,30,4459.41671466827
0.00650260822110719,5.04895267451728,5.04893203308758,0.447571177767334,0,0.0562,9,0,0,30,3701.57573676109
0.00594853268111868,5.30805917877921,5.3080668631834,0.428748030252717,0,0.0562,9.5,0,0,30,3552.32263612747
0.00546278028202243,5.56705468025755,5.56702656739415,0.411517406198716,6.94928962086522E-07,0.0562,10,0,0,30,4626.86108422279
0.00503451394564054,5.82585123377098,5.82580830268238,0.395682497673734,6.39071345205443E-07,0.0562,10.5,0,0,30,4703.43251776695
0.00465497030588081,6.08449510546894,6.08448625482724,0.381069825626896,0,0.0562,11,0,0,30,4635.24876618385
0.00431699985177977,6.34304491556271,6.34301920232776,0.367546232680824,2.52860893832764E-07,0.0562,11.5,0,0,30,4433.94409942627
0.00401472205223617,6.60150295592691,6.60147024337504,0.354988928299059,0,0.0562,12,0,0,30,4612.64825582504
0.00374326368101282,6.85984054248029,6.85980315169754,0.34329525127525,0,0.0562,12.5,0,0,30,4772.28904938698
0.00349855812871684,7.11808024708207,7.11802585599048,0.332378449862775,0,0.0562,13,0,0,30,4765.32074713707
0.003277189953758,7.37619911952029,7.37620561794559,0.322161738710168,0,0.0562,13.5,0,0,30,4359.48147130013
0.00307627336264499,7.63433963836827,7.63429677660571,0.312576384748535,0,0.0562,14,0,0,30,4426.95417356491
0.00289335639846397,7.89232084742113,7.89233416237215,0.303567145415401,0,0.0562,14.5,0,0,30,4152.03126263619
0.00272634479464387,8.15027624740477,8.15033306676852,0.29508122625286,0,0.0562,15,0,0,30,4895.89123916626
0.0025734410055746,8.4081951887455,8.40824422468024,0.287072389965443,0,0.0562,15.5,0,0,30,4725.42259693146
0.00243309504740702,8.66606064822273,8.66610670927989,0.279503697801896,0,0.0562,16,0,0,30,4493.25251984596
0.00230396460142278,8.92387084022978,8.92391613651897,0.272335819411638,0,0.0562,16.5,0,0,30,4823.94672298431
